Date,Nifty Returns,Nifty Auto,NIFTY ENERGY,Nifty FMCG,Nifty IT,Nifty Media,Nifty Metal,Nifty PSU Bank,Nifty Realty,NIFTY BANK,NIFTY MEDIA,NIFTY CONSUMPTION,NIFTY MNC,NIFTY PSE,NIFTY COMMODITIES,NIFTY SERV SECTOR
2022-08-11,-0.1713055132904784,-0.06570688,0.49881974,-0.3046984,-0.04750274,0.18330888,0.12691304,-0.01613264,-0.4665132,0.040685907,0.1316818,0.1069022,-0.0628016,0.059478424,-0.7846604,-0.8231556
2022-08-12,-0.6327458020916154,-0.08904674,0.56354445,-0.27311894,-0.058900405,0.19179465,0.13617985,0.023861844,-0.44180423,0.06558562,0.17551461,0.09485417,-0.005326744,0.090352595,-0.7273748,-0.6383818
2022-08-16,-0.5859597855296294,-0.017221985,0.660633,-0.28687277,-0.053706717,0.19852254,0.10419403,0.058585424,-0.41479516,0.03548183,0.2032449,0.15149893,0.076946996,0.09097623,-0.59127116,-0.6461654
2022-08-17,-0.027764303859478496,-0.01010943,0.6982475,-0.28437722,-0.05274242,0.18438935,0.09781777,0.07321887,-0.37103802,0.05861894,0.20600009,0.14726101,0.15355244,0.1249684,-0.4376933,-0.5233243
2022-08-18,1.0826025420036773,-0.005206491,0.7185813,-0.27350032,-0.050141387,0.15996312,0.10007268,0.07279643,-0.3012671,0.07967257,0.18854553,0.16984776,0.21577084,0.14965667,-0.3401745,-0.48574105
2022-08-19,1.4724988627270246,-0.0048913145,0.7206722,-0.25110188,-0.050628647,0.13900872,0.08353538,0.058164593,-0.23732738,0.20564142,0.16275129,0.1852287,0.26135916,0.1509075,-0.32182962,-0.52335584
2022-08-22,-0.4270727015104239,-0.016394299,0.716305,-0.21463504,-0.048079126,0.12309914,0.06747746,0.03584491,-0.2047357,0.21001135,0.13518149,0.20841111,0.30313218,0.1344703,-0.37631506,-0.55503005
2022-08-23,-0.11004453295013877,-0.022416921,0.71083343,-0.22984241,-0.041770402,0.109600425,0.04274173,0.012698112,-0.2188788,0.10852714,0.10581122,0.23833202,0.35801616,0.09612302,-0.49312016,-0.62256014
2022-08-24,0.4779844010407067,-0.060303994,0.6794137,-0.22864504,-0.043926448,0.097963914,0.041839764,-0.010108952,-0.22762084,-0.042795412,0.080281585,0.20886028,0.3719306,0.12114692,-0.595863,-0.5800208
2022-08-25,-0.15852862935706247,-0.057654075,0.6688289,-0.23425935,-0.047848955,0.08985077,0.05456606,-0.027108787,-0.2422571,-0.108555235,0.06476833,0.18493655,0.3874744,0.12454714,-0.59206134,-0.60017574
2022-08-26,1.369379946489398,-0.027028793,0.6725693,-0.23688208,-0.06242158,0.08566935,0.0653223,-0.039972868,-0.26751217,-0.08578302,0.05679462,0.15864627,0.4001727,0.11713002,-0.4299368,-0.53618366
2022-08-29,-2.3221088318349294,-0.017368028,0.6449954,-0.25737602,-0.047440648,0.085650004,0.068661064,-0.04474118,-0.29547587,-0.03037463,0.054696523,0.12634604,0.40456465,0.12375179,-0.19739485,-0.47988853
2022-08-30,1.1941359718714841,-0.025734643,0.60961854,-0.26731926,-0.044109102,0.08799482,0.08922285,-0.035332028,-0.30013722,0.03904321,0.06678502,0.04827364,0.40181717,0.14747947,-0.047681104,-0.45981404
